0	0	0	0	0	0
256	0	0	240	0	0
512	0	0	494	93	0
768	0	0	740	128	0
1024	0	0	987	175	0
1280	0	0	1233	226	93
1536	0	0	1479	266	93
1792	0	0	1726	310	128
2048	0	0	1974	356	128
2303	0	0	2219	403	154
2559	0	0	2465	445	175
2815	0	0	2712	494	194
3071	0	0	2959	537	211
3327	0	0	3205	582	226
3583	0	0	3452	627	240
3839	0	0	3699	669	254
4095	0	0	3945	715	266
0	256	0	0	254	0
256	256	0	254	254	0
512	256	0	494	266	0
768	256	0	740	278	0
1024	256	0	987	300	93
1280	256	0	1235	329	93
1536	256	0	1481	356	93
1792	256	0	1727	388	128
2048	256	0	1974	425	128
2303	256	0	2219	464	154
2559	256	0	2466	499	175
2815	256	0	2713	543	194
3071	256	0	2959	582	211
3327	256	0	3206	623	226
3583	256	0	3452	665	240
3839	256	0	3699	704	254
4095	256	0	3946	747	278
0	512	0	128	505	93
256	512	0	278	505	93
512	512	0	505	511	93
768	512	0	747	516	93
1024	512	0	992	527	93
1280	512	0	1237	543	93
1536	512	0	1484	558	128
1792	512	0	1730	577	128
2048	512	0	1976	601	154
2303	512	0	2221	627	175
2559	512	0	2468	652	175
2815	512	0	2714	684	194
3071	512	0	2961	715	211
3327	512	0	3207	747	226
3583	512	0	3454	781	240
3839	512	0	3700	817	266
4095	512	0	3947	851	278
0	768	0	211	758	128
256	768	0	310	758	128
512	768	0	522	761	128
768	768	0	758	764	128
1024	768	0	1000	771	128
1280	768	0	1244	781	128
1536	768	0	1489	791	154
1792	768	0	1734	807	154
2048	768	0	1979	820	175
2303	768	0	2224	838	175
2559	768	0	2470	859	194
2815	768	0	2716	880	211
3071	768	0	2963	903	226
3327	768	0	3209	927	240
3583	768	0	3455	954	254
3839	768	0	3702	982	278
4095	768	0	3948	1009	289
0	1024	0	266	1012	154
256	1024	0	356	1012	154
512	1024	0	548	1014	154
768	1024	0	775	1017	154
1024	1024	0	1012	1021	154
1280	1024	0	1254	1029	175
1536	1024	0	1496	1036	175
1792	1024	0	1740	1045	194
2048	1024	0	1984	1057	194
2303	1024	0	2229	1071	211
2559	1024	0	2475	1084	226
2815	1024	0	2720	1100	226
3071	1024	0	2966	1119	240
3327	1024	0	3212	1138	254
3583	1024	0	3458	1157	278
3839	1024	0	3704	1180	289
4095	1024	0	3951	1204	300
0	1280	0	339	1263	194
256	1280	0	403	1265	194
512	1280	0	582	1265	194
768	1280	0	798	1269	194
1024	1280	0	1029	1273	194
1280	1280	0	1265	1276	211
1536	1280	0	1505	1284	211
1792	1280	0	1749	1291	211
2048	1280	0	1992	1300	226
2303	1280	0	2235	1309	240
2559	1280	0	2480	1321	240
2815	1280	0	2725	1334	254
3071	1280	0	2970	1347	266
3327	1280	0	3216	1363	278
3583	1280	0	3462	1380	289
3839	1280	0	3708	1398	310
4095	1280	0	3953	1416	320
0	1536	0	403	1517	226
