0	0	0
474	4	0
947	7	0
1172	14	0
1386	20	1
1587	27	1
1803	34	1
2025	38	1
2246	47	1
2475	54	1
2692	70	1
2915	77	1
3138	89	1
3357	122	1
3554	160	2
3749	202	3
3979	208	5
13	572	20
403	351	21
883	317	21
1085	257	21
1337	205	21
1549	183	20
1891	164	19
2092	146	18
2280	147	17
2476	145	16
2683	147	15
2903	154	15
3140	169	16
3350	204	15
3546	251	15
3746	276	15
3973	236	15
16	963	40
314	827	41
602	626	42
999	501	42
1288	391	41
1510	340	40
1777	295	37
2010	254	35
2225	247	32
2467	237	34
2673	223	37
2895	231	39
3122	248	30
3331	286	29
3523	342	28
3730	349	27
3961	356	25
20	1226	75
211	1150	73
403	956	70
810	847	74
1133	759	79
1404	691	78
1650	621	74
1891	580	71
2126	565	71
2377	543	70
2612	537	69
2837	527	64
3055	488	60
3283	513	57
3499	558	47
3728	574	46
3947	603	35
20	1382	145
146	1384	134
276	1291	128
592	1169	123
1015	1092	117
1329	1031	116
1578	973	112
1818	923	107
2065	885	109
2332	866	107
2571	850	105
2794	823	103
3015	828	94
3236	838	89
3454	866	78
3699	872	73
3930	887	46
21	1639	161
123	1618	174
198	1542	186
490	1444	177
861	1391	171
1242	1346	165
1520	1302	160
1762	1254	166
2012	1221	161
2274	1196	157
2539	1176	154
2763	1174	142
2987	1166	131
3211	1163	128
3437	1173	120
3682	1194	105
3915	1186	67
25	1822	178
119	1809	197
195	1769	217
434	1704	232
771	1642	214
1166	1612	209
1467	1572	203
1719	1538	209
1973	1508	213
2237	1492	206
2495	1483	200
2737	1475	163
2963	1466	163
3202	1469	167
3426	1482	161
3665	1484	151
3900	1477	112
41	2008	195
123	1998	202
189	1955	252
426	1916	276
756	1870	280
1115	1834	264
1413	1804	260
1679	1778	254
1948	1757	249
2213	1748	244
2479	1740	213
2731	1738	199
2957	1739	194
3196	1732	189
3417	1739	198
3649	1742	203
3880	1748	193
72	2227	268
127	2218	278
183	2180	288
445	2118	326
726	2091	346
1092	2066	319
1405	2037	318
1677	2014	309
1945	2002	308
2212	1997	306
2480	1991	226
2728	1988	216
2957	1985	206
3189	1987	220
3408	1984	235
3640	1985	255
3866	1988	298
91	2457	306
139	2450	311
186	2427	331
459	2386	377
743	2364	391
1074	2336	374
1385	2306	390
1665	2290	364
1935	2278	334
2200	2270	323
2470	2265	289
2718	2261	285
2949	2260	274
3181	2258	261
3405	2257	271
3637	2258	314
3863	2258	383
117	2680	344
156	2675	383
196	2658	405
453	2628	427
710	2606	437
1080	2588	424
1381	2573	423
1668	2554	416
1935	2543	409
2202	2538	395
2467	2533	381
2715	2533	353
2951	2533	343
3186	2534	346
3410	2533	373
3642	2533	406
3862	2532	428
158	2908	383
178	2905	399
246	2889	450
464	2864	500
699	2846	514
1067	2829	528
1406	2817	499
1688	2810	479
1949	2796	460
2215	2792	458
2474	2786	455
2716	2785	434
2954	2785	413
3181	2774	430
3412	2781	438
3639	2779	440
3869	2782	443
247	3135	421
268	3133	453
341	3120	486
475	3100	551
719	3084	566
1079	3068	555
1432	3047	585
1703	3040	556
1981	3029	551
2240	3024	523
2496	3023	512
2725	3020	483
2961	3023	492
3195	3024	489
3427	3032	461
3669	3029	459
3908	3019	458
322	3340	555
326	3339	559
356	3333	585
545	3321	605
738	3302	599
1055	3291	582
1459	3280	595
1734	3272	633
2000	3266	578
2268	3265	545
2510	3268	570
2733	3268	532
2959	3267	521
3203	3269	508
3437	3268	484
3682	3264	486
3928	3255	488
397	3570	616
384	3570	594
340	3568	607
479	3562	619
789	3548	632
1030	3534	609
1442	3529	622
1725	3522	635
1977	3519	604
2236	3518	566
2480	3516	527
2707	3510	571
2945	3509	550
3188	3510	527
3430	3506	507
3647	3511	488
3891	3503	518
328	3837	641
323	3836	629
323	3834	629
412	3829	643
734	3820	657
953	3806	637
1254	3796	649
1572	3783	661
1871	3778	636
2148	3776	597
2406	3775	583
2665	3770	610
2911	3768	591
3151	3764	572
3395	3763	562
3645	3758	552
3898	3752	562
197	4081	666
199	4082	670
206	4086	681
264	4089	689
532	4082	688
770	4074	710
1034	4060	707
1398	4047	687
1767	4035	667
2064	4030	665
2353	4029	646
2628	4027	627
2877	4021	640
3125	4016	652
3376	4014	636
3632	4010	620
3891	4002	604
88	45	186
533	36	203
995	19	219
1250	20	263
1434	21	251
1628	29	228
1838	35	214
2139	39	209
2339	42	199
2547	53	189
2744	66	178
2947	72	171
3151	85	136
3359	122	168
3555	158	181
3750	197	149
3982	202	127
48	515	216
311	362	239
839	277	263
1149	248	273
1378	205	262
1589	182	240
1878	162	229
2095	146	222
2309	145	217
2479	143	196
2685	145	189
2905	151	189
3142	167	139
3352	185	187
3548	248	188
3747	260	191
3971	253	117
35	946	246
285	838	273
535	611	281
965	493	277
1268	388	269
1513	339	249
1778	295	248
2012	255	234
2228	247	228
2470	237	213
2675	223	210
2896	231	208
3123	249	202
3332	291	207
3525	403	205
3732	358	203
3963	357	126
30	1214	311
207	1148	310
382	959	304
786	841	300
1129	763	295
1405	677	277
1652	621	259
1894	580	241
2128	565	230
2379	543	239
2613	524	233
2838	528	226
3056	490	227
3284	513	226
3501	558	219
3729	574	219
3948	590	136
27	1443	338
146	1409	333
272	1295	323
585	1149	321
1015	1093	315
1329	1032	313
1580	974	298
1820	924	287
2066	886	279
2334	867	269
2574	852	260
2796	824	229
3016	829	256
3237	839	255
3456	866	244
3701	872	237
3931	887	153
24	1640	337
119	1620	346
198	1544	352
490	1446	343
860	1392	334
1242	1347	302
1522	1303	333
1764	1255	327
2013	1222	318
2275	1197	313
2541	1176	305
2764	1175	294
2988	1167	277
3212	1164	267
3438	1173	260
3683	1195	238
3916	1186	204
28	1824	313
116	1810	340
194	1771	363
434	1705	366
771	1643	364
1146	1613	317
1468	1574	363
1720	1539	364
1974	1509	361
2238	1492	330
2496	1484	318
2739	1476	308
2964	1467	302
3203	1469	292
3427	1482	287
3666	1485	271
3901	1478	258
43	2009	285
122	1999	296
188	1956	377
414	1917	388
757	1872	400
1116	1835	390
1414	1805	375
1680	1779	401
1948	1757	394
2214	1749	388
2480	1741	361
2732	1739	339
2957	1739	339
3197	1732	320
3417	1740	314
3649	1742	309
3876	1746	305
72	2228	364
127	2220	376
182	2181	391
435	2118	413
726	2092	436
1089	2066	448
1405	2037	448
1677	2014	438
1944	2002	444
2212	1997	440
2479	1991	385
2727	1988	350
2956	1985	377
3189	1987	344
3407	1983	371
3639	1984	354
3864	1987	358
89	2454	365
142	2447	439
187	2424	481
426	2383	507
731	2359	513
1062	2332	504
1381	2303	511
1663	2288	494
1931	2275	475
2196	2266	468
2469	2263	448
2716	2258	437
2947	2257	417
3177	2253	400
3404	2256	378
3637	2257	399
3862	2257	419
124	2677	519
157	2672	521
211	2655	541
431	2623	553
719	2601	521
1062	2584	549
1370	2568	546
1663	2550	528
1928	2539	537
2198	2535	530
2461	2529	521
2710	2529	508
2948	2530	496
