0	0	0
501	1	0
1003	3	0
1292	6	1
1517	7	1
1761	10	3
1937	16	4
2142	20	6
2359	27	8
2585	35	10
2815	50	12
3033	55	14
3252	64	16
3471	77	18
3705	84	20
3938	100	20
4095	130	21
14	568	19
385	361	20
964	311	20
1285	231	19
1461	227	19
1714	191	18
1967	161	17
2168	134	17
2381	111	19
2608	100	21
2839	99	23
3049	94	24
3266	101	23
3486	112	22
3717	121	23
3946	123	21
4095	161	14
17	952	38
337	930	39
607	620	40
1082	457	38
1404	446	36
1667	373	33
1957	305	30
2105	248	28
2454	236	30
2685	197	32
2904	172	34
3115	195	35
3319	212	30
3537	225	29
3762	238	26
3985	248	23
4095	192	20
18	1215	71
160	1185	80
300	1023	73
814	841	73
1193	727	73
1491	626	72
1774	526	53
2042	429	49
2323	362	53
2595	294	57
2859	245	55
3066	296	46
3352	317	37
3578	339	35
3807	355	36
4061	374	37
4095	428	40
17	1434	123
109	1440	124
269	1416	133
493	1191	123
1020	1084	123
1372	993	113
1665	902	76
1950	826	70
2233	767	77
2512	706	85
2769	620	88
3018	582	102
3264	554	85
3517	531	78
3779	552	71
4017	573	65
4095	663	59
18	1621	141
93	1626	142
211	1619	148
424	1526	153
759	1411	161
1249	1339	153
1578	1267	130
1866	1196	119
2152	1140	129
2450	1087	137
2707	1043	146
2955	1012	158
3204	967	144
3447	950	130
3719	890	122
3973	860	100
4095	899	78
18	1806	158
86	1809	159
154	1822	164
354	1799	184
555	1682	204
1072	1616	194
1464	1561	189
1775	1511	187
2076	1469	180
2389	1432	191
2662	1399	191
2911	1378	199
3168	1350	190
3422	1330	182
3689	1309	174
3947	1271	135
4095	1237	97
24	1996	176
86	1999	176
149	2009	179
273	2022	223
398	1937	246
916	1858	248
1352	1809	247
1677	1767	242
1998	1734	239
2318	1714	244
2609	1692	236
2870	1670	250
3128	1649	229
3385	1637	208
3655	1622	189
3917	1600	159
4095	1578	139
28	2213	259
69	2216	255
90	2229	243
237	2246	250
384	2190	293
725	2099	303
1221	2055	309
1602	2016	305
1941	1990	297
2255	1967	295
2556	1947	289
2829	1932	292
3095	1918	272
3361	1906	234
3631	1893	201
3891	1879	182
4095	1870	182
32	2450	315
67	2453	314
75	2461	313
173	2478	302
283	2453	309
538	2389	344
1109	2343	372
1524	2306	368
1872	2278	360
2200	2256	351
2512	2230	343
2794	2211	333
3067	2197	295
3333	2183	260
3598	2168	232
3863	2155	205
4095	2139	224
36	2669	406
65	2671	413
73	2679	407
137	2694	394
214	2716	382
452	2654	400
954	2610	435
1425	2579	441
1785	2549	422
2136	2536	401
2464	2519	380
2756	2506	361
3029	2492	319
3297	2481	287
3569	2473	259
3835	2462	227
4095	2453	226
57	2894	425
67	2896	430
77	2902	433
119	2916	439
144	2934	443
366	2920	457
721	2865	511
1312	2838	448
1721	2812	442
2069	2792	423
2400	2778	416
2716	2770	390
2997	2762	343
3267	2749	314
3544	2744	313
3850	2716	264
4095	2686	239
75	3122	443
75	3123	447
81	3129	458
102	3140	484
142	3155	504
284	3176	490
475	3120	525
1176	3091	508
1629	3069	462
2015	3048	455
2344	3032	453
2664	3024	447
2961	3017	369
3250	3004	368
3537	2983	367
3840	2964	297
4095	2935	290
92	3337	462
93	3338	465
106	3344	471
119	3354	488
145	3371	519
232	3393	523
396	3375	539
977	3331	544
1541	3307	510
1887	3303	499
2268	3291	485
2597	3274	500
2910	3260	481
3220	3244	462
3517	3228	421
3820	3205	415
4095	3184	351
110	3563	482
110	3564	482
111	3570	484
129	3579	516
148	3592	536
212	3613	556
315	3640	569
547	3612	581
1220	3572	557
1744	3548	543
2172	3533	535
2543	3518	553
2866	3500	533
3182	3486	536
3489	3467	504
3645	3494	520
3946	3477	502
136	3787	520
137	3788	547
137	3793	546
139	3801	566
152	3814	591
193	3831	620
280	3856	636
344	3879	641
901	3837	626
1570	3803	621
2046	3787	588
2325	3796	561
2678	3779	585
3003	3767	610
3313	3756	587
3620	3740	585
3931	3723	574
167	4014	612
167	4015	612
168	4020	608
173	4028	617
182	4040	629
208	4057	630
244	4077	678
289	4095	692
529	4095	718
1123	4079	698
1791	4056	641
2239	4042	629
2625	4032	631
2956	4018	669
3275	4003	645
3595	3989	637
3910	3969	642
69	44	207
570	43	231
1033	18	255
1320	16	255
1583	15	235
1765	16	187
1941	17	138
2145	21	189
2360	28	202
2588	35	189
2818	50	108
3034	55	107
3253	64	109
3473	77	139
3706	84	136
3939	104	132
4095	130	122
60	528	270
395	488	261
954	310	268
1298	254	278
1541	232	239
1719	194	199
1971	156	173
2171	135	200
2384	123	214
2611	121	196
2841	124	178
3051	119	168
3268	119	159
3488	123	151
3719	129	148
3947	131	140
4095	161	126
41	941	291
298	932	296
595	601	282
1023	492	280
1356	448	250
1638	396	237
1960	307	208
2108	282	225
2457	237	219
2687	232	202
2906	209	194
3117	225	175
3321	231	170
3538	243	163
3763	244	158
3986	260	149
4095	192	135
21	1192	290
171	1187	272
340	1028	294
775	843	288
1171	729	283
1494	628	260
1776	564	243
2045	430	227
2326	396	220
2597	362	202
2860	315	210
3116	332	194
3354	348	179
3580	352	174
3808	362	165
4062	389	154
4095	428	140
21	1437	263
115	1442	263
293	1419	299
492	1194	307
1020	1086	298
1372	994	284
1668	904	254
1952	827	240
2235	767	236
2514	707	201
2771	620	233
3019	592	224
3264	608	215
3518	594	199
3781	579	186
4019	596	163
4095	644	145
20	1623	239
96	1628	248
232	1621	250
390	1528	309
757	1412	303
1249	1340	308
1580	1269	289
1868	1197	274
2155	1141	238
2452	1088	274
2708	1044	273
2957	1012	275
3206	968	253
3448	950	232
3720	890	210
3975	859	176
4095	899	150
21	1807	208
76	1810	219
181	1823	241
333	1800	303
555	1683	312
1073	1617	311
1465	1562	298
1777	1512	285
2077	1471	272
2391	1433	262
2663	1399	302
2912	1379	256
3170	1351	280
3422	1330	261
3689	1309	225
3947	1272	196
4095	1238	174
24	1997	253
70	2000	254
154	2010	257
259	2024	261
399	1939	316
915	1859	333
1352	1809	317
1678	1768	310
2000	1735	304
2319	1715	291
2610	1693	282
2871	1671	273
3129	1650	249
3386	1637	276
3655	1622	239
3917	1601	210
4095	1579	213
28	2214	329
63	2217	301
97	2229	289
232	2247	309
384	2191	347
725	2100	363
1222	2055	356
1604	2017	346
1942	1991	336
2256	1968	320
2557	1948	312
2830	1933	311
3096	1918	299
3361	1906	294
3631	1894	260
3891	1879	227
4095	1871	253
32	2451	378
61	2453	378
91	2462	351
170	2479	377
284	2454	379
540	2390	402
1109	2344	405
1524	2307	377
1873	2279	370
2201	2256	356
2512	2230	350
2794	2211	336
3067	2198	335
3334	2184	318
3599	2168	290
3864	2155	279
4095	2139	268
37	2670	411
63	2672	415
85	2680	419
134	2695	445
225	2717	425
453	2655	448
956	2611	454
1425	2579	456
1785	2550	448
2137	2537	414
2463	2519	388
2756	2506	409
3030	2492	371
3298	2481	344
3570	2473	312
3836	2463	298
4095	2453	284
57	2895	428
66	2897	431
88	2903	465
120	2916	489
144	2935	468
367	2921	489
723	2866	529
1312	2839	471
1721	2813	450
2070	2792	442
2400	2778	434
2716	2770	421
2997	2762	394
3268	2749	365
3545	2745	314
3849	2717	308
4095	2687	296
75	3122	444
75	3124	448
92	3130	485
108	3140	504
133	3155	512
298	3177	506
474	3120	536
1176	3091	508
1630	3070	474
2015	3049	469
2344	3032	463
2665	3025	454
2962	3018	418
3250	3005	369
3536	2984	368
3839	2965	340
4095	2936	309
93	3337	463
93	3339	465
107	3345	483
120	3354	490
141	3371	519
232	3394	523
403	3376	551
979	3332	545
1542	3307	533
1892	3302	521
2270	3291	487
2598	3274	481
2910	3260	475
3220	3245	473
3516	3229	432
3819	3206	415
4095	3185	369
110	3563	482
110	3565	482
111	3570	484
130	3580	518
149	3592	537
213	3614	556
315	3641	569
555	3611	582
1226	3572	570
1748	3548	544
2173	3533	536
2543	3518	552
2865	3500	530
3181	3487	528
3488	3468	506
3647	3494	518
3948	3477	499
136	3788	520
137	3789	530
137	3794	546
140	3802	567
153	3814	593
194	3832	620
280	3857	636
346	3880	641
901	3837	627
1569	3804	622
2045	3787	589
2326	3796	562
2679	3779	585
3004	3768	608
3313	3756	590
3621	3740	584
3932	3724	572
167	4014	612
167	4016	611
168	4020	608
174	4028	617
183	4041	629
209	4058	644
244	4077	679
289	4095	692
527	4095	718
1121	4080	699
1790	4056	642
2238	4043	629
2625	4033	631
2956	4018	670
3275	4004	645
3595	3990	637
3910	3970	642
93	88	536
639	86	545
1063	33	531
1347	26	510
1524	25	468
1722	24	370
1939	25	271
2151	25	371
2397	30	397
2597	35	369
2828	52	204
3041	55	201
3259	65	203
3479	78	261
3711	84	278
3942	108	298
4095	128	224
70	515	553
406	492	562
826	315	554
1311	258	537
1416	235	480
1666	198	451
1974	151	417
2185	142	412
2417	135	408
2621	142	371
2848	149	357
3058	143	335
3274	137	345
3494	131	330
3724	130	329
3951	133	308
4095	141	237
47	913	544
284	910	553
583	596	538
964	526	522
1308	444	477
1609	371	440
1928	320	431
2111	306	423
2403	251	408
2696	249	373
2914	246	355
3124	241	320
3327	249	358
3544	249	346
3769	249	333
3991	255	318
4095	155	250
33	1168	510
181	1163	518
379	1015	514
736	821	502
1149	716	493
1460	611	447
1743	580	433
2037	470	427
2321	450	408
2604	430	387
2865	385	365
3121	367	343
3361	375	357
3588	366	335
3814	368	327
4067	377	319
4095	389	297
31	1410	403
121	1416	497
316	1397	466
485	1169	490
994	1071	473
1355	983	455
1660	907	433
1957	830	410
2243	769	408
2522	696	390
2779	621	377
3026	609	366
3268	612	345
3523	656	320
3788	606	345
